"filename", "language", "Shell Script", "JavaScript", "Python", "Java Properties", "Less", "Java", "JavaScript React", "TypeScript React", "Markdown", "TypeScript", "XML", "JSON", "HTML", "CSS", "JSON with Comments", "Properties", "comment", "blank", "total"
"/home/lewis/winterwell/my-loop/src/js/plumbing/ServerIO.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 29, 141
"/home/lewis/winterwell/my-loop/src/js/static.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 30
"/home/lewis/winterwell/my-loop/src/js/utils/campaignPageUtils.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4
"/home/lewis/winterwell/my-loop/src/js/utils/generateDemoConstants.js", "JavaScript", 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 332
"/home/lewis/winterwell/my-loop/src/python/__tests__/ShareLoginTest.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 64
"/home/lewis/winterwell/my-loop/src/style/AccountPage.less", "Less", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 16, 160
"/home/lewis/winterwell/my-loop/src/style/AllowlistUs.less", "Less", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"/home/lewis/winterwell/my-loop/src/style/Blog.less", "Less", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"/home/lewis/winterwell/my-loop/src/style/CampaignPage.less", "Less", 0, 0, 0, 0, 745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 163, 955
"/home/lewis/winterwell/my-loop/src/style/CharityPicker.less", "Less", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 183
"/home/lewis/winterwell/my-loop/src/style/CharitySection.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/lewis/winterwell/my-loop/src/style/DateRangeWidget.less", "Less", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 120
"/home/lewis/winterwell/my-loop/src/style/DevLink.less", "Less", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"/home/lewis/winterwell/my-loop/src/style/GLCards.less", "Less", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25, 173
"/home/lewis/winterwell/my-loop/src/style/GetInvolvedPage.less", "Less", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"/home/lewis/winterwell/my-loop/src/style/GreenDashboard.less", "Less", 0, 0, 0, 0, 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 42, 532
"/home/lewis/winterwell/my-loop/src/style/GreenMetrics.less", "Less", 0, 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 43, 423
"/home/lewis/winterwell/my-loop/src/style/HomePage.less", "Less", 0, 0, 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 63, 515
"/home/lewis/winterwell/my-loop/src/style/ImpactOverview.less", "Less", 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55, 380
"/home/lewis/winterwell/my-loop/src/style/LandingSection.less", "Less", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 110
"/home/lewis/winterwell/my-loop/src/style/MyAdCampaignsPage.less", "Less", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/home/lewis/winterwell/my-loop/src/style/MyCharitiesPage.less", "Less", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 29
"/home/lewis/winterwell/my-loop/src/style/MyDashboard.less", "Less", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 162
"/home/lewis/winterwell/my-loop/src/style/MyData.less", "Less", 0, 0, 0, 0, 457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 68, 556
"/home/lewis/winterwell/my-loop/src/style/MyDataProductPage.less", "Less", 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 25, 405
"/home/lewis/winterwell/my-loop/src/style/MyLoginWidget.less", "Less", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35, 256
